country,ico_start,ico_end,price_usd,success,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
India,10/08/2020,31/12/2020,0.01,Y,0.5,1.00E+08,5.00E+08,Yes,1,1,"Pakistan, Turkey, Somalia, Sirya, Sudan",50 USD,Available,NA,NA,5.00E-03,"BTC, ETH, and Fiat currency",NA,https://www.linkedin.com/company/bitfinex-limited/,NA,NA,4,NA,1
Cyprus,01/08/2020,31/12/2020,0.1,N,0.6,NA,8.40E+07,No,1,0,USA,NA,Available,22/07/2019,31/10/2019,NA,"ETH, BTC",https://www.tycoon.io/whitepaper.pdf,https://www.linkedin.com/company/tycoonio/about/,https://www.github.com/tycoon?tab=repositories,https://www.tycoon.io?utm_source=icobench,4.8,14,1
UK,01/03/2019,31/12/2020,0.14,Y,0.5,NA,7.50E+07,No,0,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia, Ukraine, Estonia, Russian Federation and North Korea",100 USD,Available,15/12/2018,15/01/2019,NA,"ETH, BTC, LTC",https://mindsync.ai/docs/whitepaper.pdf,https://www.linkedin.com/company/mindsync/,NA,NA,4.5,14,1
UK,25/06/2020,31/01/2021,0.1,N,0.5,NA,5.00E+08,Yes,1,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea, Yemen",0.10 USD,Available,NA,NA,0.1,"BTC, ETH, XRP, BNB, LTC, XLM, USDT, BCH, TRX, EOS",https://cdn.pointpay.io/WhitePaper__en.pdf?cache=1.4,https://www.linkedin.com/company/pointpay/about/,NA,NA,4.7,43,1
Seychelles,NA,NA,0.06,N,0.4,NA,4.00E+08,Yes,1,1,"USA, CANADA, CHINA, SOUTH KOREA, SEYCHELLES",1 ETH,Available,NA,NA,0.03,ETH,https://lohncontrol.com/down/LOHN-white-paper-4.3.pdf,https://www.linkedin.com/showcase/lohncontrol,https://www.github.com/lohn7?tab=repositories,https://lohncontrol.com?utm_source=icobench,4.4,16,1
Australia,30/07/2018,30/10/2018,0.12,N,423,NA,8.80E+07,Yes,1,0,"USA, China",NA,Available,NA,NA,NA,"ETH, BTC",https://emanate.live/pdf/mn8-whitepaper-v12.pdf,https://www.linkedin.com/company/emanate-live/,https://www.github.com/EmaNonete-official?tab=repositories,https://emanate.live/?utm_source=icobench,4.1,14,0
Czech Republic,01/08/2018,03/11/2018,0.1168962,N,0.75,NA,1.50E+08,No,1,1,"Afghanistan, Bangladesh, Bolivia, Bosnia and Herzegovina, Canada, Ecuador, Ethiopia, Guyana, Iran-Islamic Republic of, Iraq, North Korea, Lao People's Democratic Republic, Sri Lanka, Sudan, Syrian Arab Republic, Trinidad and Tobago, Tunisia, Uganda, USA, Vanuatu, Yemen",100 HASH,Available,NA,NA,NA,"ETH, BTC, DASH, LTC, XMR, ZEC",https://hashbon.com/info/whitepaper_eng.pdf,https://www.linkedin.com/company/hashbon/,https://www.github.com/hashbon?tab=repositories,https://hashbon.com/?utm_source=icobench,4.4,16,1
Russia,29/06/2018,NA,3.91E-02,N,0.12,NA,20240000,No,1,0,None,NA,Available,NA,NA,NA,"ETH, BTC",https://metahash.org/docs/MetaHash_WhitePaper_EN.pdf,NA,https://www.github.com/metahashorg?tab=repositories,https://metahash.org/?utm_source=icobench,4.3,11,1
Spain,NA,NA,NA,N,0.17,NA,4.00E+08,No,1,0,NA,10 EUR,Available,10/04/2019,NA,1 2GT = 0.05 EUR,"EUR, BTC, ETH",NA,TBD,None,https://www.2gether.global/?utm_source=icobench,4.4,30,1
Belize,01/01/2019,31/12/2020,0.01,N,587,NA,3.20E+08,No,0,1,NA,1 USD,Available,NA,NA,NA,"BTC, ETH, XMR",https://coinimp.com/coinimp-white-paper,https://www.linkedin.com/company/coinimp/,https://www.github.com/coinimp?tab=repositories,https://www.coinimp.com/tokensale?utm_source=icobench,4,25,0
USA,01/05/2018,31/12/2020,4.20E-03,N,0.34,NA,6.80E+10,No,0,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea",NA,Available,NA,NA,NA,"ETH, BTC, Fiat",https://satt-token.com/files/ico_satt_en.pdf,https://www.linkedin.com/company/atayen-inc/,https://www.github.com/Atayen?tab=repositories,https://www.satt-token.com/?utm_source=icobench,4.5,15,1
Australia,01/09/2019,NA,0.1,N,0.4,NA,2.00E+08,Yes,1,1,"United States, Republic of China , North Korea , Afghanistan , Syria , Iraq",NA,Available,NA,NA,NA,"ETH, BTC, USD",NA,TBD,https://www.github.com/Serenity-Energy?tab=repositories,https://serenitysource.com.au/?utm_source=icobench,4.2,28,1
UK,15/11/2018,31/01/2019,2.892896,N,0.1,NA,5.00E+07,Yes,1,1,"USA, China, Bangaldesh, Pakistan, Russia",0.1 ETH,Available,NA,NA,NA,ETH,https://s3.eu-west-2.amazonaws.com/bips-moneybrain/documents/Moneybrain_BiPS_Whitepaper_v1.pdf,https://www.linkedin.com/company/moneybrain-bips/,https://www.github.com/MoneybrainBiPS?tab=repositories,https://bips.moneybrain.com/?utm_source=icobench,3.1,24,1
Denmark,NA,NA,0.04,N,0.28,NA,2.80E+08,No,1,0,"USA, North Korea",NA,Available,NA,NA,NA,ETH,https://hoard.exchange/files/hoard-whitepaper.pdf,TBD,https://www.github.com/hoardexchange?tab=repositories,http://hoard.exchange/index.html?utm_source=icobench,4.3,9,1
Singapore,01/06/2019,NA,NA,N,NA,NA,NA,No,0,0,"USA, Canada, New Zealand, China",NA,Available,NA,NA,NA,"ETH, BTC",https://dl.kardiachain.io/paper.pdf,https://www.linkedin.com/company/kardiachain,https://www.github.com/kardiachain?tab=repositories,https://www.kardiachain.io?utm_source=icobench,4.3,12,1
Germany,01/09/2018,31/10/2018,1.166466,N,0.45,NA,5.50E+07,Yes,1,1,"USA, Canada, China Mainland - Afghanistan, Algeria, Bolivia, Burundi, Cambodia, Crimea, Cuba, Ecuador, El Salvador, Eritrea, Ethiopia, Guinea-Bissau, Iran, Iraq, North Korea, Kosovo, Kyrgyzstan, Laos, Libya, Malawi, Mali, Mozambique, Serbia, Somalia, Sri Lanka, Sudan, South Sudan, Syria, Tajikistan, Tanzania, Timor-Leste, Trinidad and Tobago, Tunisia, Uganda, Uzbekistan, Vanuatu, Venezuela, Yemen, Zimbabwe",100 EUR,Available,NA,NA,1 PAX = 0.5 EUR,"BTC, ETH, LSK",https://www.madana.io/whitepaper,https://www.linkedin.com/company/madana.io/,https://www.github.com/MADANone-IO?tab=repositories,http://madana.io?utm_source=icobench,3.9,15,0
Germany,15/02/2018,NA,0.3123,N,NA,NA,50769000,No,1,0,"USA, China",0.01 ETH,Available,NA,NA,1 ETH = 6000 QUA,"ETH, BTC, BCH, LTC, Fiat",http://www.quasa.io/whitePaper,TBD,https://www.github.com/quasagroup?tab=repositories,http://www.quasa.io/?utm_source=icobench,4.2,12,1
Gibraltar,23/07/2018,23/10/2018,6.762794955,N,0.6,NA,2400000,Yes,1,1,NA,0.5 ETH,Available,NA,NA,NA,ETH,https://token.solidified.io/files/Solidified_Whitepaper.pdf,https://www.linkedin.com/company/solidified/,https://www.github.com/solidified-contracts?tab=repositories,https://token.solidified.io/?utm_source=icobench,4.4,12,1
UK,30/11/2017,30/11/2017,0.08,N,0.7,NA,8.40E+08,No,1,0,USA,NA,Available,NA,NA,NA,"BTC, ETH",https://www.terravirtua.io/images/Terra_Virtua_Whitepaper_eng.pdf,https://www.linkedin.com/company/terravirtua/,None,https://www.terravirtua.io?utm_source=icobench,3.9,10,1
British Virgin Islands,01/07/2020,30/06/2021,1,N,0.1,NA,5.00E+08,No,1,1,"USA, China, Singapore",100 USD,Available,01/07/2020,30/06/2021,1,"ETH, BTC, Fiat",https://ucoincurrency.io/Whitepaper-Ucoin.pdf,https://www.linkedin.com/company/ucoincurrency/,https://www.github.com/ucoincurrency?tab=repositories,https://ucoincurrency.io/?utm_source=icobench,3.4,12,1
Netherlands,12/07/2018,06/09/2018,1.70E-02,N,0.5,NA,5.00E+08,No,1,1,"USA, China",0.02 ETH,Available,21/06/2018,05/07/2018,2.50E-02,"ETH, BTC, Fiat",https://attrace.com/pdf/attrace_whitepaper.pdf,https://www.linkedin.com/company/attrace/,https://www.github.com/attrace?tab=repositories,https://attrace.com?utm_source=icobench,3.9,18,0
Singapore,08/01/2019,31/01/2019,0.1,N,839,NA,201250000,Yes,1,1,"USA, Singapore",500 BFC,Available,01/10/2018,31/10/2018,7.00E-02,ETH,https://www.betformcoin.io/Betform-White%20paper%202018_03.pdf,https://www.linkedin.com/company/betform/,https://www.github.com/GameDevICO?tab=repositories,https://www.betformcoin.io/?utm_source=icobench,3.9,9,1
UK,27/03/2018,30/12/2018,4.50E-02,N,NA,NA,8.50E+08,No,0,1,USA,500 BNR,Available,NA,NA,1 BNR = 0.0001 ETH,ETH,https://bineuro.com/web/WhiteP.pdf,NA,https://www.github.com/BiNeuro?tab=repositories,https://bineuro.com/?utm_source=icobench,3.8,7,1
Cayman Islands,01/11/2020,31/12/2020,1,N,0.1,NA,3.00E+08,Yes,1,1,"USA, China",1000 USD,Available,NA,NA,NA,"ETH, BTC, USDT, Fiat",NA,https://www.linkedin.com/company/cinemadrom/,NA,NA,3.1,13,1
UK,22/03/2019,09/05/2019,0.5,N,0.6,NA,1.50E+07,No,1,1,"USA, China, Cuba, North Korea, Somalia, Iran.",0.1 ETH,Available,NA,NA,0.5,"ETH, BTC, LTC",https://covex.io/doc/whitepaper.pdf,https://www.linkedin.com/company/covexlab/,https://www.github.com/CoVEXcoin?tab=repositories,https://covex.io/?utm_source=icobench,4,13,1
Seychelles,12/11/2018,14/12/2018,0.03,N,0.6,NA,3.00E+08,No,0,1,"USA, Somalia, China","1,000 USD",Available,15/09/2018,31/10/2018,NA,"ETH, BTC, LTC, XRP",https://token.crowdforce.io/whitepaper.pdf,https://www.linkedin.com/company/crowdforce/,https://www.github.com/CrowdForceio?tab=repositories,https://token.crowdforce.io/?utm_source=icobench,3.8,15,1
Switzerland,NA,NA,0.01,N,0.5,NA,NA,Yes,1,1,USA,NA,Available,NA,NA,0.01,"ETH, BTC",NA,https://www.linkedin.com/company/28174884/,https://www.github.com/Crypto-Potential?tab=repositories,https://crypto-potential.com/?utm_source=icobench,4,9,1
Switzerland,10/01/2019,21/03/2019,0.2,N,0.62,NA,55180000,Yes,0,1,USA,NA,Available,15/12/2018,09/01/2019,0.16,"EOS, ETH, BTC, LTC",https://cwinex.io/wp-content/uploads/2018/10/CWEX_white_paper.pdf,https://www.linkedin.com/company/cwexio/,https://www.github.com/CWINEX?tab=repositories,https://cwinex.io/?utm_source=icobench,4.1,14,0
British Virgin Islands,25/10/2018,12/12/2018,1,N,0.3,NA,3.00E+07,Yes,1,0,"USA, Singapore",NA,Available,10/09/2018,24/10/2018,1,"ETH, BTC, BCH, LTC",https://src.gemera.io/src/GemeraWhitePaper.pdf,https://www.linkedin.com/company/gemera/,https://www.github.com/GemeraProject?tab=repositories,https://www.gemera.io/?utm_source=icobench,3.8,14,1
Malta,01/11/2018,01/01/2019,8.46E-02,N,0.7,NA,7.00E+07,Yes,0,1,USA,0.5 ETH,Available,26/09/2018,30/10/2018,4.23E-02,"BTC, ETH, LTC",http://ggpro.io/Content/Files/WP.pdf,https://www.linkedin.com/company/ggpro/,https://www.github.com/GGProPlatform?tab=repositories,http://ggpro.io/?utm_source=icobench,4.2,13,1
Cayman Islands,23/06/2019,31/12/2020,0.239182192,N,0.9,NA,2.70E+09,No,1,1,USA,7 ETH,Available,19/03/2019,22/06/2019,0.240388501,ETH,https://www.govearn.io/white-paper,https://www.linkedin.com/company/berkshire-development-organization/,https://www.github.com/govearn-marketplace?tab=repositories,https://www.govearn.io?utm_source=icobench,4,7,1
Singapore,31/10/2018,31/08/2018,8.90E-03,N,0.5,NA,5.00E+09,Yes,1,0,"USA, China",NA,Available,NA,NA,NA,ETH,https://s3-ap-southeast-1.amazonaws.com/greenlink-io/GreenLink-White-Paper.pdf,https://www.linkedin.com/company/greenlink-io/,https://www.github.com/greenlink-io?tab=repositories,https://www.greenlink.io/?utm_source=icobench,4.1,22,1
Germany,NA,NA,0.08,N,0.7,NA,7.00E+08,Yes,0,0,"Afghanistan, China, Crimea Peninsula, Cuba, Eritrea, Gaza Strip, India, Iran, Iraq, Kosovo, Lebanon, Libya, Myanmar (Burma), North Korea, Palestine, Somalia, South Korea, South Sudan, Sudan, Syria, United States of America (accredited investors are permitted), Venezuela, Yemen",NA,Available,24/09/2019,23/11/2019,0.08,"ETH, USD, EUR",https://www.dropbox.com/s/h8vye9u1gjp97ei/HiveNet_WhitePaper_04.09.2019.pdf?dl=0,https://www.linkedin.com/company/hivenetcloud,https://www.github.com/HiveNetCloud?tab=repositories,https://www.hivenet.cloud/?utm_source=icobench,3.7,12,1
USA,04/04/2019,31/12/2019,0.04,N,0.7,NA,7.00E+08,Yes,1,0,None,NA,Available,01/12/2018,31/01/2019,0.03,ETH,http://bit.ly/PeerionPaper,https://www.linkedin.com/company/hyperionx/,https://www.github.com/hyperionxtech?tab=repositories,https://peerion.io/?utm_source=icobench,4.1,13,1
Cayman Islands,03/09/2018,30/11/2018,0.02,N,NA,NA,9.00E+08,No,1,0,USA,0.1 ETH,Available,NA,NA,0.02,"ETH, BTC, BCH, LTC, ETC",https://goo.gl/MRK4Ui,https://www.linkedin.com/company/infleum/,https://www.github.com/infleum?tab=repositories,https://infleum.io/?utm_source=icobench,3.9,14,1
Malta,NA,NA,1 KBX = 0.00011 ETH,N,0.63,NA,2.60E+08,Yes,1,1,"USA, China",0.25 ETH,Available,NA,NA,1 KBX = 0.00011 ETH,ETH,https://www.kubitx.io/img/gallery/KuBitX_WhitePaper.pdf,TBD,https://www.github.com/Kubitx?tab=repositories,https://www.kubitx.io?utm_source=icobench,3.8,20,1
Singapore,09/10/2018,07/11/2018,0.1,N,0.5,NA,3.50E+08,Yes,1,1,"USA, China, Singapore",NA,Available,25/08/2018,08/10/2018,NA,ETH,https://lq8.io/assets/docs/whitepaper_4.pdf,NA,https://www.github.com/LQ8-Liquid8?tab=repositories,https://lq8.io/?utm_source=icobench,4.2,19,1
France,01/03/2019,25/11/2018,0.2871,N,0.7,NA,11200000,Yes,1,1,"USA, China",NA,Available,NA,NA,NA,"ETH,Fiat",https://loligo.co/assets/doc/LOLIGO-EN-V0.68.pdf,NA,https://www.github.com/BlocZero?tab=repositories,https://loligo.co?utm_source=icobench,4.1,11,1
Ukraine,01/08/2019,31/08/2019,0.1107175,N,125,NA,1.25E+08,No,1,0,"USA, China",1 ETH,Available,10/05/2019,27/05/2019,5.60E-02,ETH,https://tokensale.loveaircoffee.com/docs/Whitepaper_en_1.0.pdf,https://www.linkedin.com/company/lac-company/,https://www.github.com/LOVEAirCoffee?tab=repositories,https://tokensale.loveaircoffee.com?utm_source=icobench,3.5,16,1
Switzerland,31/08/2019,15/03/2019,0.08,N,0.65,NA,3.25E+08,Yes,1,1,"South Korea, USA, China",0.1 ETH,Available,15/01/2019,14/02/2019,0.08,ETH,https://medicohealth.io/landing_page/documents/wp-beta.pdf?v=1,https://www.linkedin.com/company/medicohealth/,https://www.github.com/MedicoHealth?tab=repositories,https://medicohealth.io/?utm_source=icobench,4.1,34,1
Cayman Islands,04/02/2019,17/02/2019,3.60E-02,N,0.65,NA,6.50E+08,Yes,1,1,China,"1,000 PLS",Available,14/01/2019,03/02/2019,0.03,"ETH, BTC, BCH, LTC",https://protocol.please.com/assets/Please.com-Whitepaper.pdf,https://www.linkedin.com/company/pleasedotcom/,https://www.github.com/pleasedotcom?tab=repositories,https://protocol.please.com/?utm_source=icobench,4,17,1
Malta,20/08/2018,30/09/2018,3.66E-02,N,0.6,NA,3.00E+08,Yes,1,1,USA,0.1 ETH,Available,NA,NA,7.00E-02,ETH,https://www.quickx.io/whitepaper/QuickXProtocolv1.7.pdf,https://www.linkedin.com/company/quickx/,https://www.github.com/quickxprotocol?tab=repositories,https://www.quickx.io/?utm_source=icobench,4,21,1
Belize,NA,NA,1 TPLAY = 0.0012 ETH,N,0.6,NA,4.20E+07,Yes,1,1,"USA, Canada, China",NA,Available,NA,NA,1 TPLAY = 0.0009 ETH,"ETH, BTC",https://trueplay.io/docs/en/TruePlayWhitePaper.pdf,TBD,https://www.github.com/TruePlayInfo?tab=repositories,https://trueplay.io/?utm_source=icobench,3.2,16,1
Switzerland,NA,NA,0.2,N,0.66,NA,69300000,No,1,1,"North Korea, Syria, Iran, Iraq, Ethiopia, Burma, Côte d’Ivoire, Sudan",NA,Available,08/10/2018,31/01/2019,NA,"BTC, ETH, LTC",https://ico.uris.io/static_files/whitepaper.pdf,TBD,https://www.github.com/uris-io?tab=repositories,https://ico.uris.io?utm_source=icobench,4,19,1
Netherlands,14/07/2018,13/08/2018,0.04,N,0.5,NA,2.00E+08,Yes,1,1,"Iran, Iraq, Cuba, Syria, Sudan North, Crimea, North Korea, Seychelles, Latvia, USA.",10 USD,Available,11/06/2018,01/07/2018,NA,ETH,https://anythingapp.com/whitepaper.pdf,https://www.linkedin.com/company/anything-app/,https://www.github.com/anythingapp?tab=repositories,https://anything.app?utm_source=icobench,4,13,1
Singapore,15/01/2019,15/02/2019,0.03,N,0.53,NA,1.00E+12,Yes,1,1,NA,10 USD,Available,15/08/2018,15/09/2018,1.95E-02,"BTC, ETH, BCH, LTC, DASH",https://goo.gl/36q7xL,https://www.linkedin.com/company/availcom/,https://www.github.com/AvailCom?tab=repositories,https://availcom.io/?utm_source=icobench,3.9,17,1
USA,NA,NA,0.5,N,0.57,NA,5.70E+07,No,1,1,USA,0.01 ETH,Available,NA,NA,0.25,ETH,https://bigdatablock.com/wp-content/uploads/2018/04/BigDataBlock_Whitepaper_April2018.pdf,TBD,https://www.github.com/orgs?tab=repositories,https://bigdatablock.com/?utm_source=icobench,4.3,14,1
USA,NA,NA,0.1,N,0.5,NA,5.00E+07,Yes,1,1,NA,NA,Available,26/02/2019,11/06/2019,0.1,"BTC, LTC, ETH, USD, TRON, USDT, XRP",NA,https://www.linkedin.com/company/11368080,https://www.github.com/bincoininc?tab=repositories,https://bincoins.io?utm_source=icobench,3.9,8,0
USA,02/04/2020,02/05/2020,0.25,N,0.55,NA,5.30E+08,No,1,0,NA,NA,NA,01/03/2020,31/03/2020,0.15,"BTC, ETH, LTC, XRP, USTD, BCH",https://carnomaly.io/wp-content/uploads/2020/01/Carnomoly_Whitepaper_1.23.20.pdf,https://www.linkedin.com/company/carnomaly/,https://www.github.com/Carnomaly?tab=repositories,https://carnomaly.io/?utm_source=icobench,4.4,3,1
Azerbaijan,10/05/2018,10/07/2018,581.8215824,N,0.6,NA,3.00E+07,Yes,0,0,"USA, China",NA,Available,NA,NA,"1 ETH = 5,000 CEN","ETH, BTC",https://centaure.io/docs/whitepaper.pdf,https://www.linkedin.com/company/centaure/,https://www.github.com/centaureio?tab=repositories,https://centaure.io/?utm_source=icobench,3.5,4,1
France,NA,NA,1.16E-02,N,0.55,NA,1.00E+12,No,1,1,USA,150 EUR,Available,NA,NA,1 CTY = 0.0075 EUR,"XLM, BTC, ETH, Fiat",https://www.connecty.io/files/Connecty-WhitePaper-US-LastVersion.pdf,TBD,None,https://www.connecty.io/ico/?utm_source=icobench,3.9,17,0
Bulgaria,NA,NA,0.3,N,0.25,NA,5.00E+07,No,1,1,NA,NA,Available,01/06/2019,NA,0.17,"ETH, BTC, LTC, BCH, XRP, ADA, BTH, EOS, USDT, BNB",https://cryptoapis.io/docs/CryptoAPIs_WhitePaper.pdf?utm_source=CryptoAPIs&ver=1.2,TBD,https://www.github.com/Crypto-APIs?utm_source=icobench?tab=repositories,https://cryptoapis.io/?utm_source=icobench,3.9,7,1
British Virgin Islands,NA,NA,0.1,Y,0.7,NA,2.47E+08,Yes,1,1,"USA, China",NA,Available,29/05/2018,12/06/2018,NA,"E<U+0422><U+041D>, B<U+0422><U+0421>, Fiat",https://www.crystals.io/whitepaper.pdf,TBD,https://www.github.com/crystalslove?tab=repositories,https://www.crystals.io/?utm_source=icobench,4,13,1
Singapore,NA,NA,1 DGO = 0.0004705882 ETH,N,0.5,NA,1.00E+08,Yes,1,0,"USA, China",0.1 ETH,NA,NA,NA,NA,ETH,https://crowdsale-files.dinngo.co/whitepaper,TBD,https://www.github.com/Dinngo?tab=repositories,https://dinngo.co?utm_source=icobench,3.6,15,1
Estonia,NA,NA,0.1,N,0.85,NA,7.48E+08,No,0,1,"USA, China, Singapore",NA,Available,15/09/2018,30/09/2018,0.1,"BTC, ETH, LTC, Fiat",https://eiplatform.io/doc/WhitePaper-Eng.pdf,TBD,https://www.github.com/EIPlatform?tab=repositories,https://eiplatform.io/?utm_source=icobench,3.8,29,1
France,NA,NA,0.2,N,0.3,NA,1.50E+08,No,1,0,"USA, Canada, China, Iran, Sudan, Syria, North Korea, Crimea, New Zealand, Cuba",NA,Available,10/10/2017,31/01/2019,NA,"BTC, ETH, BCH, Fiat",http://whitepaper.embleema.com/,TBD,https://www.github.com/Embleema?tab=repositories,https://www.embleema.com/?utm_source=icobench,4.2,13,1
Singapore,NA,NA,0.1,N,0.4,NA,2.00E+08,Yes,1,1,"USA, Canada, China",100 USD,Available,01/10/2018,15/10/2018,NA,"XLM, BTC, ETH",https://everlife.ai/assets/EverLifeAI_Whitepaper.pdf,TBD,https://www.github.com/everlifeai?tab=repositories,http://everlife.ai?utm_source=icobench,3.7,16,0
Cayman Islands,01/03/2019,01/03/2019,2.50E-02,N,0.45,NA,1237500000,Yes,1,1,China,NA,Available,01/06/2018,31/07/2018,0.02,ETH,https://bit.ly/2LnXznJ,https://www.linkedin.com/company/expercoin/,https://www.github.com/expercoin?tab=repositories,https://www.expercoin.com?utm_source=icobench,3.8,20,1
Canada,NA,NA,NA,N,0.5,NA,1.00E+09,No,1,0,NA,NA,Available,NA,NA,NA,ETH,https://fansunite.io/whitepaper.pdf,TBD,https://www.github.com/FansUnite12?tab=repositories,https://fansunite.io/?utm_source=icobench,3.9,14,1
UK,15/06/2018,01/07/2018,0.05,Y,0.6,NA,6.00E+08,No,1,1,USA,100 USD,NA,01/06/2018,15/06/2018,0.04,"ETH, BTC, LTC, BCH, DASH, XRP, XMR, ZEC, Fiat",http://www.farmatrust.io/#whitepaper,https://www.linkedin.com/company/farmatrust/,https://www.github.com/FarmaTrust?tab=repositories,https://www.farmatrust.io/?utm_source=icobench,4.4,12,1
Germany,NA,NA,1 HIX = 0.01 EUR,N,0.7,NA,3.50E+09,Yes,1,1,"Afghanistan, Belarus, Bosnia and Herzegovina, Canada, Central African Republic, the Crimean Peninsula, Cuba, the Democratic Republic of the Congo, Sudan, Somalia, Eritrea, Ethiopia, Syria, Gifu, Libya, Egypt, Iran, Iran, Villagers, Lebanon, New Zealand, China, Somalia, Sudan, Syria, Sri Lanka, Tunisia, Uganda, USA, Yemen, Vanuatu.",100 EUR,Available,12/07/2018,27/07/2018,NA,"ETH, BTC, Fiat",https://ico.helix-orange.com/wp-content/uploads/2018/08/HELIX-Orange_Whitepaper_v1.5.pdf,TBD,None,https://ico.helix-orange.com/?utm_source=icobench,4.2,21,1
Estonia,30/07/2018,08/08/2018,0.130268083,N,0.35,NA,7.00E+07,Yes,1,1,USA,0.5 ETH,Available,30/07/2018,08/08/2018,9.99E-02,ETH,https://hyperquant.net/en/wp/,https://www.linkedin.com/company/hyperquant/,https://www.github.com/hyperquant-platform?tab=repositories,https://hyperquant.net?utm_source=icobench,3.9,15,1
South Korea,30/05/2018,30/05/2018,1,N,0.65,NA,193050000,NA,0,1,NA,0.1 ETH,Available,NA,NA,NA,ETH,https://s3.ap-northeast-2.amazonaws.com/insureum/whitepaper-en.pdf,https://www.linkedin.com/company/zikto/about/,https://www.github.com/TeamZikto?tab=repositories,http://insureum.co?utm_source=icobench,3.9,23,1
British Virgin Islands,27/07/2020,28/07/2020,2.00E-04,N,0.6,NA,3.00E+10,No,1,0,NA,0.1 ETH,Available,NA,NA,NA,"ETH, BTC, BCH",https://www.juiice.io/wp/whitepaper-juiice.pdf,https://www.linkedin.com/company/juiice-ltd/,https://www.github.com/organizations?tab=repositories,https://www.juiice.io?utm_source=icobench,4.4,16,1
USA,NA,NA,1 KIMERA = 0.00036 ETH,N,0.5,NA,1.00E+09,Yes,1,1,"USA, China, South Korea",0.1 ETH,Available,30/04/2018,01/07/2018,0.16341048,ETH,https://kimera.ai/wp-content/uploads/2018/04/Kimera-Whitepaper.pdf,https://www.linkedin.com/company/hyperquant,https://www.github.com/kimera?tab=repositories,https://kimera.ai?utm_source=icobench,3.8,20,1
Cayman Islands,01/09/2018,01/03/2019,35.4408,N,0.6,NA,1078825,Yes,1,1,NA,0.1 ETH,Available,01/05/2018,01/09/2018,29.5341003,ETH,https://kryptoin.io/whitepaper,https://www.linkedin.com/company/zikto/,https://www.github.com/consynor?tab=repositories,https://kryptoin.io/?utm_source=icobench,3.7,8,1
Ireland,15/10/2018,16/11/2018,1,N,0.2,NA,2.50E+07,Yes,1,1,"USA, China, Singapore",0.223 ETH,Available,16/04/2018,06/05/2018,0.7,"ETH, BTC",https://tokensale.mydfs.net/docs/en/whitepaper.pdf,https://www.linkedin.com/company/juiice-ltd/,https://www.github.com/mydfs?tab=repositories,https://tokensale.mydfs.net/?utm_source=icobench,4,18,1
USA,01/09/2018,NA,0.32,N,0.2,NA,2.00E+08,Yes,1,0,None,"5,000 USD",Available,01/08/2018,30/08/2018,0.16,"BTC, ETH, Fiat",https://s3.amazonaws.com/nextpakk-assets/docs/pakka-ico-whitepaper.pdf,TBD,https://www.github.com/nextpakk?tab=repositories,https://www.nextpakk.com?utm_source=icobench,4.4,16,0
Cayman Islands,16/04/2018,13/10/2018,5.10E-02,N,0.5,NA,1.50E+08,Yes,1,1,"USA, Cayman Islands",1 NEO,Available,NA,NA,NA,"NEO, BTC, ETH, LTC, Fiat",https://www.nursetoken.io/nursetoken-whitepaper.pdf,NA,https://www.github.com/NurseToken?tab=repositories,https://nursetoken.io?utm_source=icobench,3.7,12,0
Estonia,01/08/2018,01/12/2018,0.05,N,0.5,NA,5.00E+08,Yes,1,1,USA,NA,Available,30/04/2018,15/06/2018,0.01,"BTC, ETH, LTC, Dash",http://www.nwpsolution.com/nwp_whitepaper.pdf,https://www.linkedin.com/company/mydfs/,https://www.github.com/NWPSolution?tab=repositories,http://www.nwpsolution.com?utm_source=icobench,4.2,15,1
Philippines,01/09/2018,30/10/2018,0.2,N,0.35,NA,1.75E+08,Yes,0,1,China,100 USD,Available,10/07/2018,30/08/2018,0.2,"BTC, KMD",http://assets.pearlpay.io/pdf/pp-whitepaper.pdf,https://www.linkedin.com/company/pearlpayofficial/,https://www.github.com/prlpay?tab=repositories,https://www.pearlpay.io/?utm_source=icobench,3.9,9,0
Austria,01/09/2018,07/10/2018,5.91E-02,N,0.5,NA,5.00E+08,No,0,1,"USA, China, South Korea",0.1 ETH,Available,18/08/2018,31/08/2018,5.66E-02,ETH,https://qravity.com/en/whitepaper/,https://www.linkedin.com/company/qravity/,https://www.github.com/QravityMediaGmbH?tab=repositories,https://qravity.com/en/?utm_source=icobench,3.8,19,1
Malta,01/10/2018,30/11/2018,0.01,N,0.29,11580000,3.48E+08,Yes,1,1,"USA, China",NA,Available,15/09/2018,30/09/2018,NA,"BTC, ETH, Fiat",https://www.quizando.io/resources/Quizando%20White%20paper%20-%20V9.6%20-%20Aug%202018.pdf,https://www.linkedin.com/company/quizando/,https://www.github.com/quizando?tab=repositories,https://quizando.io?utm_source=icobench,4.3,14,1
