country,ico_start,ico_end,price_usd,success,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
Singapore,24/12/2018,27/12/2018,6.30E-03,Y,0.5,NA,3.00E+09,Yes,1,0,"USA, China",NA,Available,NA,NA,NA,"BTC, ETH, RBTC",http://www.temco.io/templates/temco_whitepaper_en.pdf,https://www.linkedin.com/company/temcolabs/,https://www.github.com/temcolabs?tab=repositories,http://www.temco.io?utm_source=icobench,4.3,20,0
Germany,20/01/2019,01/05/2019,1.50E-02,N,0.68,NA,2.40E+09,Yes,1,0,"USA, China",50 USD,Available,NA,NA,NA,"ETH, BTC, LTC, XRP, Fiat",https://thejoy.io/files/wp_en.pdf,NA,https://www.github.com/thejoyio?tab=repositories,https://thejoy.io?utm_source=icobench,3.4,21,1
Costa Rica,13/07/2018,17/08/2018,2.85E-02,Y,0.6,NA,6.00E+07,Yes,1,0,"United States, Canada, Iran, Syra, Sudan, North Korea, China.",NA,Available,01/06/2018,15/06/2018,1.93E-02,ETH,https://tipblockchain.io/docs/Tip%20Blockchain%20-%20Community%20Whitepaper.pdf,https://www.linkedin.com/company/tip-blockchain-network/,https://www.github.com/TipBlockchain?tab=repositories,https://tipblockchain.io/?utm_source=icobench,3.9,15,1
UK,01/10/2018,31/10/2018,3.00E-04,N,0.6,NA,4.20E+09,No,1,0,USA,NA,Available,14/07/2018,30/09/2018,1.88E-04,BTC,https://www.tokenaire.club/assets/pdf/tokenaire-whitepaper.pdf,https://www.linkedin.com/company/tokenaire-ltd/about/,https://www.github.com/TokeNoneire?tab=repositories,https://www.tokenaire.club/?utm_source=icobench,3.7,5,0
Russia,14/11/2017,28/11/2017,1,Y,0.75,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"BTC, ETH",https://tokenbox.io/docs/TBX-WhitePaper-Eng.pdf,https://www.linkedin.com/company/tokenbox/,https://www.github.com/zeriontech?tab=repositories,https://tokenbox.io/?utm_source=icobench,3.8,11,1
British Virgin Islands,20/12/2017,28/03/2018,0.8,Y,0.6,NA,4.50E+07,No,1,0,"USA, Puerto Rico, Virgin Islands",0.01 BTC = 100 TEAM,NA,NA,NA,NA,"BTC, ETH, ACE",https://tokenstars.com/upload/files/team_whitepaper.pdf?utm_source=icobench,https://www.linkedin.com/company/tokenstars/,https://www.github.com/tokenstars?tab=repositories,https://tokenstars.com/team/?utm_source=icobench,3.9,6,1
Georgia,15/07/2018,31/08/2018,1,N,0.5,NA,NA,Yes,1,0,USA,100 USD,Available,01/05/2018,31/08/2018,NA,"BTC, ETH, Fiat",https://tradelize.com/files/tradelize_wp_eng.pdf,https://www.linkedin.com/company/tradelize/,https://www.github.com/devtradelize?tab=repositories,https://tradelize.com/?utm_source=listing&utm_medium=icobench,4.4,14,1
UK,28/01/2019,19/03/2019,0.25,Y,0.2,NA,5.00E+07,Yes,1,0,USA,0.05,Available,10/12/2018,18/01/2019,2.50E-02,ETH,https://etradeplace.com/docs/TradePlace_WhitepaperV1.pdf,https://www.linkedin.com/company/tradeplacex/,https://www.github.com/TradePlace?tab=repositories,https://ico.etradeplace.com/?utm_source=icobench,4.4,13,1
UK,31/03/2018,21/04/2018,0.35,Y,0.65,NA,1.00E+08,No,1,0,"USA, China, Singapore",1 NEO,NA,NA,NA,NA,NEO,NA,https://www.linkedin.com/company/travalacom/,None,https://www.travala.com?utm_source=icobench,4,4,0
Estonia,18/06/2018,31/12/2018,0.11,Y,0.43,NA,429700000,Yes,1,0,USA,0.1 ETH,Available,21/05/2018,17/06/2018,NA,"BTC, ETH",https://www.treon.io/data/Treon-WhitePaper-v4-17-Jul-18,NA,https://www.github.com/treonio?tab=repositories,https://www.treon.io/?utm_source=icobench,3.5,14,1
Liechtenstein,24/05/2018,24/07/2018,3.50E-02,Y,0.75,NA,5.00E+08,No,1,0,USA,NA,Available,NA,NA,NA,"ETH, BTC",https://tv-two.com/TV_Whitepaper.pdf,https://www.linkedin.com/company/tvtwocom/,https://www.github.com/tvtwocom?tab=repositories,https://tv-two.com/?utm_source=icobench,4.1,21,1
Singapore,01/08/2019,30/11/2019,1.00E-03,N,0.33,NA,6.93E+10,No,1,0,None,NA,Available,22/05/2019,07/06/2019,NA,ETH,https://twogap.com/whitepaper.pdf,https://www.linkedin.com/company/twogap/,https://www.github.com/twogap?tab=repositories,https://twogap.com/?utm_source=icobench,3.7,20,1
Gibraltar,12/04/2018,18/12/2019,0.25,N,0.1,NA,3.00E+08,Yes,1,0,NA,200 USD,Available,NA,NA,0.25,"BTC, ETH, Fiat",https://ubecoin.com/get-whitepaper/,https://www.linkedin.com/company/ubecoin-group-pty-ltd/,https://www.github.com/Ubecoin?tab=repositories,https://ubecoin.com/?utm_source=icobench,3.8,11,1
Switzerland,09/05/2018,08/06/2018,2,N,NA,NA,1.50E+07,Yes,1,0,"USA, China",NA,Available,NA,NA,NA,ETH,http://ubiatarplay.io/wp-content/uploads/2018/01/ubiatarmarketplace-white-paper-3-0.pdf,https://www.linkedin.com/company/ubiatarplay/,https://www.github.com/Ubiatar?tab=repositories,https://www.ubiatarplay.io?utm_source=icobench,4.3,19,1
Lithuania,03/12/2018,31/12/2018,5.70E-02,N,0.51,NA,382500000,Yes,1,0,"USA, China, North Korea",0.1 ETH,Available,12/11/2018,02/12/2018,NA,"ETH, BTC, Fiat",https://unboxed.network/static/download/Unboxed-Whitepaper.pdf,https://www.linkedin.com/company/unboxednetwork/,https://www.github.com/UnboxedDev?tab=repositories,https://www.unboxed.network?utm_source=icobench,4.3,26,1
Poland,14/01/2019,14/03/2019,0.12,N,0.5,NA,1.00E+08,No,0,0,None,0.1 ETH,Available,21/11/2018,31/12/2018,0.08,ETH,https://ico.utile.network/whitepaper.pdf,https://www.linkedin.com/company/multiven/,https://www.github.com/UtileNetworktech?tab=repositories,https://ico.utile.network/?utm_source=icobench,3.9,17,1
British Virgin Islands,01/11/2018,31/01/2019,0.1,N,0.62,NA,1.80E+08,Yes,1,0,"USA, North Korea, Syria, Iran, Sudan, Bangladesh, Bolivia, Kyrgyzstan, Canada, China",1 ETH,NA,01/10/2018,31/10/2018,NA,"ETH, BTC",https://utix.io/download/Utix%20Whitepaper.pdf,https://www.linkedin.com/company/multiversum-blockchain/,https://www.github.com/utix-protocol?tab=repositories,https://www.utix.io?utm_source=icobench,3.9,8,1
Saint Kitts and Nevis,22/08/2018,31/07/2019,0.25,N,0.65,NA,141750000,No,1,0,USA,0.1 ETH,Available,15/08/2018,22/08/2018,NA,"ETH, BTC, LTC, USD",https://vanig.io/latest-whitepaper,https://www.linkedin.com/company/vanigllc/,https://www.github.com/VanigPro?tab=repositories,https://vanig.io?utm_source=icobench,3.8,25,1
France,28/09/2018,31/03/2020,5.82E-02,N,0.53,NA,5.30E+08,Yes,1,0,"USA, North Korea, New Zealand, China, Australia",NA,Available,NA,NA,NA,"BTC, ETH",https://www.varanida.com/whitepaper.pdf,https://www.linkedin.com/company/my-cryptobank/,https://www.github.com/Varanida?tab=repositories,https://www.varanida.com?utm_source=icobench,4.1,24,1
Malta,17/09/2018,06/12/2018,0.1583,Y,0.6,NA,2.00E+08,No,1,0,NA,100 USD,NA,NA,NA,NA,"BTC, LTC, ETH, Fiat",http://vegawallet.com/uploads/VegaWalletWhitePaper.pdf,https://www.linkedin.com/company/vegawallet/,https://www.github.com/VegaWallet?tab=repositories,https://vegawallet.com?utm_source=icobench,3.9,21,1
Bulgaria,20/08/2018,20/09/2018,8.50E-02,Y,0.5,NA,5.00E+08,Yes,1,0,NA,0.1 ETH,Available,15/05/2018,04/06/2018,5.10E-02,"ETH, BTC, Fiat",https://www.vernam.com/assets/uploads/Whitepaper_Beta_v015.pdf,NA,https://www.github.com/VerNonem-ICO?tab=repositories,https://www.vernam.com?utm_source=icobench,4.2,22,1
Cayman Islands,01/10/2018,15/02/2019,0.31,Y,0.6,NA,1.80E+08,Yes,1,0,"USA, China",50 USD,NA,NA,NA,NA,"ETH, BTC",https://vertex.market/static/whitepaper/vertex_whitepaper.pdf,https://www.linkedin.com/company/vertexmarket-place/,https://www.github.com/VertexCapxDev?tab=repositories,https://vertex.market/?utm_source=icobench,4.2,12,1
Bulgaria,02/10/2018,30/11/2018,2.27E-02,N,0.45,NA,4.50E+08,Yes,1,0,"USA, Canada",NA,NA,18/09/2018,02/10/2018,NA,ETH,https://vibeo.io/files/vibeowhitepaper.pdf,NA,https://www.github.com/vibeo?tab=repositories,https://vibeo.io?utm_source=icobench,4.1,19,1
Australia,02/05/2018,31/07/2018,2.25E-02,Y,0.76,NA,7.60E+08,No,0,0,None,0.1 ETH,Available,NA,NA,NA,ETH,https://ico.vikky.io/wp-content/uploads/2018/04/WP_ENG_Resize.pdf,NA,https://www.github.com/vikkyteam?tab=repositories,https://ico.vikky.io?utm_source=icobench,2.2,9,1
Singapore,01/10/2018,31/10/2018,2.88E-02,Y,NA,NA,NA,No,1,0,NA,NA,Available,16/09/2018,30/09/2018,NA,NA,https://virtuse.com/public/pdf/whitepaper.pdf,https://www.linkedin.com/company/11320641/,https://www.github.com/virtuseexchange?tab=repositories,https://www.virtuse.com/?utm_source=icobench,3.9,16,1
Georgia,01/05/2018,01/07/2018,0.1,Y,1,NA,1.00E+09,NA,0,0,NA,NA,NA,NA,NA,NA,"BTC, ETH, WAVES",https://viso.global/white_paper.pdf,https://www.linkedin.com/company/viso-payments/,https://www.github.com/Visoglobal?tab=repositories,https://viso.global/?utm_source=icobench,3.7,14,0
Bermuda,20/07/2018,15/11/2018,5.90E-03,Y,0.75,NA,3.00E+09,No,1,0,"USA, China",0.001 ETH,Available,NA,NA,NA,ETH,https://www.vivanetwork.org/pdf/whitepaper.pdf,https://www.linkedin.com/company/one-game-foundation/,https://www.github.com/viva-network?tab=repositories,https://www.vivanetwork.org?utm_source=icobench,3.7,25,1
Russia,14/03/2018,31/07/2018,1,Y,0.75,NA,1.00E+08,No,0,0,NA,1 USD,NA,05/12/2017,05/01/2018,NA,"BTC, ETH, LTC, DASH",http://vrt.world/Whitepaper_Englishqq.pdf,https://www.linkedin.com/company/vrtone/,https://www.github.com/vrtworld?tab=repositories,http://vrt.world/?utm_source=icobench,4.4,26,1
